photo_id,business_id,caption,label
HraO5ptQx4pxpo6okphHIg,Z43-i4rxY0w1yqqZFzUXOg,,menu
DU4q22CFMMOgsK5BbTPuHw,grBPIq_eJCT_SGuhvMrUZQ,,food
nDBfLkP7G37eVYxT_acOuQ,muxda1cSVtplETqTfYVgZA,,menu
V1fVVKUowJdf6qgifap0Rg,IHCSJHLyz2MgXpJAVssC3Q,,outside
Nr8lNXO11Bpb9Y5bHZJbtw,RvTHIKHaPVVp8S9cihpi5w,,inside
IbAefgx1fQ4247sr_a2Szg,G1280tTnHsioeQHTaWyK3w,,drink
alXRAhs47jk-sR_fAaaluQ,zjLT8ELDYxxknQ9ZLrl6_w,"latte, or any specialty coffees. We offer a gourmet coffee daily.",drink
Tusn5umCsgGmaeY4qZg63Q,OLGqB9dRca8Vib7lMdtC8A,WINTERS EVENING SPRITZ,drink
JniraQxx75AfciaLb3MXvw,I-nrEtjboBLoEvGiSAcmvw,Banana Tarte Tatin,food
AGd4qumevWZcS5rIjDyxrQ,dYsSSplrU88w4i86K5uQSQ,,food
7uoJERXcJsdvAcVkqqm6CQ,qlRE9dbbQdDbdeL59Mkn8w,,food
kf37UvfA6XTMV3xD3VD5_g,6a4gLLFSgr-Q6CZXDLzBGQ,,outside
TRJsNU58KG-SKCSccAIRNA,v4s3xYzkXZB6sAY5yszyRg,,outside
6hkarsDBycBTKRj6-0F0JQ,cdUIxzO08EX_TEPxvurQOQ,Photo courtesy of Red Eye Cafe Web site.,outside
AT6hD__diP070Lw3ddxexw,jWJynraqtgT6xGWsSmXScw,restaurant interior,inside
hfEjutMAMBC9k4wyVNFrYg,8q25GCkL0PngPIlCu2j4Vw,Vanilla latte w/ pistachio Turkish Delight,drink
3bVHfa-2vICS2QDymuoYLQ,KuVtxfIJu4qRscngMsVcxg,,inside
sJ654dJCmLVONQXB1mkonA,8pqdJjefYq-a9IBSJJmKwA,Front door,outside
yznMZTcvVhkFdw0p8bc8Cg,eKLqPmuDZf_O764bceJbqg,This is where it's at!,inside
HjcRCQuDFy8vrAJr86W-TA,mcr1lAEdvGLMJhuPwI3I2A,,outside
tCtVczdNxYJs7kn04Rw0Dw,y8RbDyDJd-zGcgThqIZWDg,,menu
dycHDhXIEsOMGhK9XQg8tg,Vy9VN70aRpIe4yEo55VrWQ,Spaghetti with Clams,food
PCupVy1J8TjyUDD-bWmZ1A,3nYIq4THGUOgQCAF-mkd7w,,inside
U0WsUsCB_sg7hBc0ltdsog,tYn8hGpZiRgJ8cP2FcI_YQ,,inside
LYayUG5Cm-R47_ppZNwmkg,dgyKoIYEYrmRK_hktWBZdA,,outside
wHot0Ltau3Fp0NM9AdporQ,ehWn19msSrigN7-57FyFOQ,Eggplant parmigiana,food
BTYEqUgrQ57vhnWT95GkfQ,yUKgE-I_x_YDBstGm5PI8Q,,menu
kqN3shEund20nNxF7rP4rQ,yQh7_mOLWV2XlkbhTAk5CA,5MAY2018 Menu,menu
WBmtohkHJzCLdrSrwuu-6Q,yGlPsqK8ck33EgvUINIfvQ,Asked for the hockey game and this is what we got...,inside
rnBlZGk5jLKeO-_ffApbwQ,3zK9LTY3TgH7nU18-dnXtA,Cacciucco. Last night was with Salmon instead of yucky Tilapia. Delicious!,food
WBtF1Ucd3i_SRziDO2zsVw,_KKhBOzBKV4dcNmcXxJg0g,,outside
jlsXzXAGPN9C4aGaRd6ABw,lLfELruYq7pq0MaXafqxiA,Taking off the Garter at The Copper Creek Hotel in Bisbee!,inside
FjXLvpPo8-WxRgdIX2vKaQ,ka2XO8vL_PqCS-xk3SVauA,Mango Crepe Cake,food
zslQoJDi32XyOQ3x97-ujw,CCTA2CxuTY_MObGx71o2gQ,,food
M70xUIFZ6_YZ_KggnosG7w,3VZsvccKrkvmBshoAFrgGw,,inside
taj8afcJFcQcIon91SQi9A,eeKJYP614nNnDwnjKpl7XA,,drink
l_2Q4JP_FWzO2DNv2ojlOg,7-767IyQtw_BwyQTcHpQnA,,food
eqR8CQJOyJDlkR7CUCjWfA,rvF-BwyaCHeb30u3Xf7FbQ,,inside
EI9gEoh3By37eTn08oq_cA,SlZJATE_TGUU8X34UJNi4g,,menu
m0Novtfi-cHUJEiIRInfQw,zU5PPd9j4bYC_MepNSEDcA,Spicy soup dumpling,food
uLUXkXfaNDzvOQ0g0viPdg,CYKj959PZDjweV-CSpssCg,Mushroom ravioli,food
lgP9soz5gAFaKSlzX_4J-w,lKU_kljhbEQKIPaM1Zbqiw,"Nonni 's Spaghetti & Meatballs, Little Nonna's Garlic Bread, Campanelle Nero",food
PZdk9gzbGNIuRqAL_sJvgQ,XFfuR-F1_wDbcf8xo2DVPw,,food
qGhxKB5XtCq96vVUww5e-Q,RmJJ979n9a2AZLUSe7_X6Q,Chef's Favorites,menu
AaR8RpZbVQBf04FGOCqBMg,BAf7Wu2Xo8HioALaBLRIwA,Caramel corn and brownie compliments of the pastry chef!,food
sQTPsvk4zVwWWZNjPIuypA,tMzJ15VLjqIuitCXs6_bsw,,drink
7DGpLRyXumJGlsR2oMhabA,0hcn0TK1-n6-6hiznW1Kgw,DeBrand hot chocolate,drink
3dnR8Qr3UMbcIj9zW6kWBQ,kCV9CwW28Uz1ln4IXGhGwg,"Comfortably Numb -- very coconut forward, yum!!",drink
X65OaTdcHXvB_AVJp6kh3Q,GnCjwgwg_yg0QscSnScG7A,,inside
HCoJ_oGZ37RJpIy7mpUvIA,sYfqfSIvVg8zVICibin7jw,,menu
ysa3__gX1BM97ioverAvCg,o1I-pKoa6WUNpMViWaA9Fw,,drink
9rxe7QgvL4I9jOgLD2RqKA,XdUIIp-NFQax3Kr6XitmMg,I put my name and my word down on it: these are the best toasted ravioli anywhere in St. Louis.,food
O7vS1GyyWUsF-ZJ7ratLOg,dcpWZ6Yk_S0HqTlNBi8jiA,Mugs,drink
uoYW9-G076OYdhjdIOzieA,3z6NoBqJ1JbVId7vxRcBfw,Meeting Latrice!!,inside
4M6aPT_QtbE5o7MfKH_3wA,mU49-Sb2tnKZvqppDfDw5g,,food
Vq9JmYqfuxH1JRsKfdLD7w,na6kPgbJ8c73JELysDrtuw,,menu
LltFgVApFjGWkfoMNaf2xg,uI8-q_D1pADZy8g1R1UP6Q,,food
ZJICDIP4lIArp3ZOJt82jg,gzDJSSkr3VD2ON7yWnCavA,Bar seating,outside
KbZF2J79b2MPNWyi2TOcQA,TKRB31Z2z-GfpfYB2vaRjw,,drink
yHzXJkGU0dsKraHRYwRidQ,EZc2myE2mYk2h9JK9qu8gw,Mini Ahi Poke Tacos,food
VJ-NoxXVWpx6t8FcIivrlg,Vq3DbGLExt1n1iWq5Ug9qw,,food
Dk4FvculKrMgijlJAumyrw,l3xN428CnbxmlFhzP95tuQ,,outside
3W-KopjKI6LFXitnkUBlJg,p_qSQwShIgQnNxGcajI4-w,Drink. Good.,drink
hjG7OWB1ETUChhpgYCwNIQ,wjZwXKDiFBQXlO8-TjQTXA,Pimms Cup $10,drink
hvFuylHFfbPhnPjEy2cGBA,4D7QDfPOsSPfKxBi3gs_qQ,Two lovely ladies ready for a nice Italian meal.,outside
Mp2ulqnmn4i8il6H607GrQ,b-ho09jj2ii0rVUn0iU0bw,,inside
56Za2lRcGZpft_2QNKu16Q,nB7LcJIvZr-EbJj4oFZf-A,,menu
V4tN00xWZlxDQf2gdw9wQw,YuDv6bxaHjvst2PxnoM3ZA,,food
Znm5rPj_HCLZNrHopXVuFQ,rSV7D00UpdZyQ4CXu5OWBg,Entrance outside mall,outside
PHNdSTtp6n4SRCKbSRgiOQ,g2zwbLIqxtN9nGGuL43trg,Pizza menu,inside
jbEr_UQx8WCMf-PFKyhJ9Q,IYwXJgaJUKb7ZK8IxVnRvw,,inside
WHliXQcwuAszcog_OdrJVg,AahCxtL9ZrcaeTpP23X8Ig,,outside
QfPLx6h1fxO_Uw7YfEUMCA,hkQNgNNTTKX3LIiWn5tqTQ,Thai-Am Madeira Beach,outside
B2l3PLY1cHuoaO6xJ_bO4g,Vf4GVOwIagZq3xBdQJxZwA,,food
Yj_wCSmvOWdlfJiIlAg_bw,rpyFI--0A__WUNn23r-7cQ,,food
QE-dzaA4rxivUm1Y0Tq8WA,nJ6tSofMRm32nCAH9S09eQ,,outside
PhhOepp3CtTkLgDm95XmWw,AhcSesT3mjnch_1ftdwiug,PJ's Coffee,drink
wn23Z5zEWRJUmie0eljVqg,PVDh-6ge94GefpNfXzsSGw,The Q (on 100% Organic Whole Wheat),food
qhXwT_fOu2v27jZp6b99ig,yhvCUcbLqiDgThmXuloEGA,,drink
KJ6O9pGB4VV_wRKYn1px7Q,YWI4lRnWY7-dFBAei7JAEQ,,inside
x8oymbQmMX6AIFOmaootWw,DRnvSL_I8MLuTLhl6O4JBQ,,inside
VIME9919GksY32qxsNCJLQ,B7YZGbFkgo6TmnqLwaHQhw,,food
rRuCMsiAHz9i4ELvVWnIuA,_ElX5QsAd-CXxlW0vt8Ftw,Chill Chicken & g Naan & Rice,food
mStrUZ2DWsxGKLf4YrYVpg,XgehM3pBZWuXi45J2dqRJQ,,outside
pwjMm8k4qqwMm0iERy08WA,j3E_vGw47XpiEgTr-KiJUg,,outside
I9nkxlf0XcSLfwNUBzSZaQ,oHMUB2xSWRY_7fXXKRZ-_A,,outside
yUZVPqM_jPbfLrBq9tJUmw,LfbkgbvGdZ7Lm7w6v3oTnQ,Menu,inside
78yqdJFQL5TxsH0PSPYg1A,skY6r8WAkYqpV7_TxNm23w,,drink
fCo0AxqqmEELv14db3fI3w,UxNB5QSIiLepKdMHeU0qig,,outside
ZQaPCZXPtqjGUuOhO5KH-A,mjXIEy_xVd36aJqj9L2gBw,Brennan's New York Sour,drink
YmDH4g0hIpGuJyEhV2prpA,0YDWXueDNhQ0V0Mgr-RAMA,,food
QgKQUoaj51_32scXAMM37Q,LImOqXSWUq-E_eNZhTUzmQ,Tacos Torta de Tinga,food
DGd-ms-NO3o175Mx73E9iw,TcznsWah9kWQhTzvuHMUaQ,,menu
2DzI67oAdiNCH_bfM7HJUw,-2BDt9OdGiBONysWCdKgNg,,food
HqsmdDahHwSpDWiiQIaJ0g,xOckpDI5LWyoVStkuGfwmA,"Enjoying the Cali, Tampa, & Philly Rolls in this delicious platter!",food
FiMoAeenxANiTMdaUS6nIQ,qBwOLby0sOJd3QG1o76W2w,,inside
Wq8qZj2l-iIKwR4uay-B7Q,baxAe39nPgmAhkNwqvoHnQ,"Rich layers of chocolate cake, dark chocolate cheesecake and creamy custard mousse.",food
S3wUuBxiviNdHcNbdskkvg,KrKQChZ1hwHHVaUK9Zc-Ag,,menu
fVhZyMmF-K1fOatZov9_5Q,sNP0PovNW1RQnfDQogOuVQ,"Check it OUT!!!!!
The Continental Tavern is Now serving Truly Hard Seltzer ON TAP!  
It is ""Truly"" awesome!!",drink
TdeTNgMNxQ_tsL9NYtOtYQ,NDIiNcJZpdoQpXGXl7IA2Q,The Bar,inside
tZVvqht4QBPGvHTKqd7gFQ,oqy15jhe1lOXttEvd4Srog,,inside
vYYPCOKImHfrAOtc67Us6A,9ZmQLgfS6QgczZngZzN1uQ,,outside
Tf4yadkzAyke8EiOzoKAyA,WP9GAuhvmUhm8MAxMqhgrQ,,menu
XZEMQ5jVEAJTcncCDonreg,edJoBsse6nsF0BYh6pATAg,,outside
48qucyoLbmvpOqmkexUFwg,ZKPrXH_GNW_AtZ31tP3NmA,Out said,outside
Xxb80KJVVsJxoOvhVGZ0tw,sOTBr5NXzRakDMX4XIqUdQ,,drink
LWDyYAodUMSlUXUwFO0BwA,CYSPKiVdoPX3erovujnE9Q,Inside,inside
bV8xsb0zqonmqdxqp3Reaw,YbkD76a_vnGYpMrFLETIyA,,drink
rfPQ3GY5_pPuikXTTnE2jg,pRUIk3XMylfXBGwxjMCs1A,Full menu page 1,menu
JtlXAXtYqc7R2LzdX5ZxTw,Bii6sQO2QNinBq9vdakNBg,,food
o9GoqkmTy7RZIHW7_ABC1w,G3Zd640VOpMgxXizb6aO6A,,food
nXGpij5n_son6a0rbNbG2A,DxzL49yhgQ2CxZvmcXV_YA,,drink
5farwi5pf9FHYb--1evQeA,eyQL0pS7agcZtdKYQ-tJGw,Cream ale,drink
6Sd-HZOE_W8VFFg5LvRMiw,Mr0Ph0NoO7l-r8uXReUOwQ,"The flavors rotate frequently, and every single one is unbelievably delicious and unique.",menu
v7G6_gG6EuEGTxiT5Tmtdg,XCDXN4xJh3-DauaO88CZHQ,Pizza truck has arrived,outside
A0rl-0YW29yzbCqJQGonAA,XJ1KN2kQGBIo8h1nWvZNzw,,drink
U9fp5TE9jnowvE8LVcSXBQ,enqOOiTjcMdylPOBu0At2w,,menu
W-LpB0QtTms6x_zFnQrGWg,V9VLhHdSFpFi4yXFqVcVEA,,food
wKKSl_AOP1ET42yUQ2_YXw,85YOTzRlah5hzasNmNl5uA,,inside
Jfe4xT8t9QhPQid2rvzSDg,OkyiiyLbPCM0HVGp3jps2Q,New Menu : A La Carte,menu
9yhijPFDstzFZBaGADUDzQ,p53i8ogh4pADR41GwaPRjg,,outside
cLA9RFimGhaZH_D3AttbvQ,ww3YJXu5c18aGZXWmm00qg,the amelie,drink
zUfXg1V6LZOSG-KHWcy39Q,lRj_1nDUCdXS3LVSrg9vfQ,,inside
DZXoWeJEQ3JP3MnIVDzWTg,_d34cqarF3WWEP7m3EUp-g,,food
evqgzwwJ8A-3ycG9V7zOcQ,q1L8kFacrWVQwGyTsaGiuw,,inside
ZEOwPOtPyj7vmSbSFYaChg,ez3QHFQDCbdhzBtU58dbKg,March 2021: Menu Page 5 of 6,menu
v4rbJiy-J1ztonDe0vp27g,PzqwENhkS_x5Czwn-dV6fQ,,food
UvgNEEpzfWSR1F4CTUUUMQ,3Ce8r1K1O-2JKSMXdXID-w,,outside
r3uWRWeDFevxP_vune97qw,PYJ7YSaMmHM_7C4WwOuFgA,Pour over/chemex coffee,drink
v9nJ1C_YYoM-RZMHDFN3dA,2OEL_uLdTg90PiFVh_HdIQ,,inside
tNbsR4Engl8u1YFNyg7SGA,UrWsPqcJFlf5sGVRZzsuYw,,drink
yqlpq1TV5qHBT8hSmNPxFA,FryXEasH74MQDnj5Bvz3QA,,menu
kbTcvwDfHJAfc5yPGthEMg,QXGnmsKYANxOyZBqM-zlJA,,menu
AQbqsLjLFicvyUvxfOY2Bg,9h0i4lVC5eCVhRTanWsEAg,,food
cofZa8XiWjnbIc80wjHLgA,cSHp3ncOeVuIRNHqxf-7kQ,,drink
npCGqxYrXa90dkH3t_vMTQ,cLxia5oKALmQ1HDWq0KPmw,Menu,menu
lGK9nf7cZEIl3gzRgtv2fA,PG8J71SW92ACgz1hJWrzRQ,bougie benny,food
4hDYXN8ox2xNxvyME5xC3w,vXb4OWsjPoiBtmarfexj-g,Menu,menu
wWO_ynHd8RcUwyIt7e6UZQ,Zk970x5qnRNgDznVKMNZZA,,drink
4oL6hSZdmkr9bTlrcEs4iA,3_z_ILjp4AUOiyyMsobKoA,Grand Opening Photos by @AvistaMedia / @HydnImages,inside
spE-tbm_NsyhWpKeSu61Gw,HuawlT4tXzCXL8ftyvCZ0Q,Event photography with fun!,outside
2loZVsZ1BfInzmdG6ZhGGg,PP3BBaVxZLcJU54uP_wL6Q,,outside
FuOIW5d5ZxQB-QgaZZcE7Q,1lYgczPofVzbRqBT4XdLZQ,Starbucks Cold Brew,drink
JYe85pPCYbc-l2yJfpkE3A,2zeC6SFWDgf7lMFRDqFyiQ,Chocolate Footballs Stuffed with Chocolate Covered Popcorn!,food
7G8Jykfprqn5uUrRl_VgZg,302qd-5sCeBpadGzH62EOw,"Our rich and creamy homemade Alfredo sauce is made with parmesan cheese, butter, heavy cream, and garlic. Served with fettuccine pasta.",food
Cc1g_dKDiikAz9H3_1Tyaw,Al0bLYQE3M6WVNevrheBGg,Chevy's at The Mills Mall.,outside
WiCjQfe4_2lvZ_T6sqlz7A,wJPK_kvtnlbcY6JExUxngg,,inside
_eFLW9aG42ctX0a_UyRXzg,A-8K66Kx7fMXkayG_3zdJQ,Menu,menu
jifuzvm6ctIzpiabOFIP0w,WNhcS2zi4zAqA2TbduVINQ,Restroom door,inside
cpcbdCLIYJx5a1_T5jA8YA,0RuvlgTnKFbX3IK0ZOOocA,,outside
bsOQyzJeMqOv36pkFVudrQ,iMWGmFrMVEEktWNriZ2cTQ,Sea salt caramels,drink
RjnjtsFWmm3uZ7w_jtWw0w,Wndkw2PinAwTgjeUJOTdCg,The guys with their matcha lattes,inside
z1kG1hpFBz5puwrEJYtdCQ,LImOqXSWUq-E_eNZhTUzmQ,,drink
u8wg-2XjWZPSySzP-o3H4Q,sBxbAv4TEjGZiLmPlnxrbQ,,drink
7F4drcUsA440EUgODDbdyA,j0KgKcnjdYf8CFujbdD16g,New,menu
T_FXIRHKYE1_0h2cYW_b4Q,N8kV7EYGQwvCQo-54ss0Xw,Sausage Biscuit,food
ji-33_lSc9nFHSVmHrAWGg,IkY2ticzHEn4QFn8hQLSWg,,outside
DN2P_7LhFtU_J4Hlk5COEg,W8fyKHzZX68SQWFvwq_JMQ,Cappuccino,drink
3qrpLTB2LcYrvcUndwNx7g,1nNn3-FJgfukw4xEAQJfCw,,outside
ioNOVvBqkLSR8ZXHHDZMUw,1yr6foIrWy0HBXVpD5Wb3w,Menu,menu
QZAj4fbbjWlt1jbROoTGtw,2HMf3ewAeMaeDsadJuL8DQ,Street view. Great font.,outside
ouI0A-88ZHYCUjbr-HlEbg,FLdZtEAva4I24x1cDNqgzw,,inside
pTrWFDYKQjGZkK8DXYdHjg,c2aTeHsgmQWapEuWEwT3Mg,Feb 2022: Menu Pic 2 of 2,menu
3f-WQ2yyxg5M6_zQJFJpzg,F4gvookXrKsBNCvK_xEt1g,,menu
_KE7WcsAWiElIuuezBMp5A,j0KgKcnjdYf8CFujbdD16g,New,menu
UIZNK97UmlFvXllhMlus2A,-gFkkYh0tqQcgZh3z0yyYw,,drink
zoeOP-t0QR_1b4iDC6j2HQ,gndi4-wzu66Mtp4E0zHt7g,Cozy,inside
4FPp4_avyTenI7PLEOcHig,-NvYIxTY2R3vzzSmvRKVLQ,,inside
ZLYNYmwGgX1jzCJpumkTDQ,E9KNLJmufM-fFHV9xJSK4g,,drink
QsS3JkWUmTzjGQrOECqIXQ,_ab50qdWOk0DdB6XOrBitw,,menu
WVgKx89v8LJrl1txxcT7RQ,QdPiEDjZ2N2mOXSCrWHAbw,,food
ZD-USZCV4_q3iLGYyAHdGQ,JTyjDMwU01xi0iPIYgCSCw,Strawberry trolebús with pickles ! So good!!!,drink
KAAioeLao1p1cUMZxit_Zg,whiNQ0Z2AUkyBKucejQNTA,Inside,inside
X5KmAhLhPFYLK2h5xeT-0Q,OIyDK3Q1GHfJonlRtzXW_A,A little birdie told us to remind you: All our tiki mugs are now available for purchase!,drink
TEjZyY6ZPS5q2DBEof5xjg,MtZrHienTC6EnKDEGu6AzA,Retail area with local vendors,drink
DbH-LznfzNioAHTNddFFnQ,zyPz0xvE5XkeCVH2J7g2gw,Belgian Fries,food
u7UbnrxM4AlTun_RlCLPAw,RSOAZcjiShJkeMjZ1C0eKA,Mexican Sunrise,food
lxfg9oGn_fnL8bz1RiDGPA,2PlhAoV-zXw2SUaWzkw-Ng,,drink
ZmtPbn87wtEQ0KROViaonw,NO59rcnK8zE7tGrzuB8vZg,"Store front of Five Guys at 300 East Lake Road in Palm Harbor, FL.",outside
31E5b77fNa1rhfNoRvDc_A,NHb6QTrJOnyIj-Zd0fYzFg,,outside
ubjqVECYgm9og6IJ2lNMaw,2QIxk_gGB9rRX45uzmPHuA,From across Whyte ave,outside
cDJiU-mebzAyQzzT40yt0g,AYCStuk7tHVX9Uuw0j69LA,A delicious trip to Greece in Haddon Township!!!,menu
IPWzQOru5ov1TaII16u_Vg,WuEj_th1_CylYddnvXknog,,drink
rGAj_8-gUFuiy28vkxEQPQ,DzzVSYXadZ1_XgfGz_Loyw,Chocolate Ganache Cake,food
NW2kalQvYf_se5gUynECdw,dTDBXOnGK0w96L79P92AbA,Chantilly Cake,food
Z4JM975IVG9ysLOaWhLN2g,fLM3emFZM3NjUKysn5_yEw,Arepa Cumaco Bowl,food
yVyX148xIsNNoDbaPgIJsA,7kHvPCBSmRgzDgjO9xXT1g,Palmetto Bug Stompers,inside
msICXwNoEU6U8WZ0ljJRMQ,zbhID412Pg3zXd_t3mswpg,,menu
Pa2t7dIg549-eZQrT_uslg,ZBdkOVCP1tDY-ODpJOmMaA,Dining area upon entry.,inside
D6ApSVBf8Wl5r7KwbkIuaw,nihvarTktbLi1CI_Dkep4Q,Oyster shot with a Corona back. First time having an oyster shot!,drink
Mau7MW5eyZmDDGUutwi3Bg,RsZFGqDyTUk9kEJzVLWHdQ,,menu
k_I5EY9IyaqLAf1W0aArSA,FZuzdnT1k5Dx_VcVXpK5fw,,food
g0fe01hjrcNM2UzkRVXKNg,LaEnUeazBtFdu8_IJlH97w,,outside
s8pbY4UW57eFNpkb08WAJw,kJmAc845uKH8Z6e1KFZXtA,,drink
zZ8cgf9TrMmxNG_BbKGdcw,7AjM-d3gsgpvKDQSX6QCuA,Happy Hour Menu,inside
t_z9KIA-FxdUnZQLetj7ZA,16tjKOvMw_nOgNViq2LwOQ,Hot Nashville sandwich,food
KO-ZWnI_ho-wQJkFhv1IDQ,3nYIq4THGUOgQCAF-mkd7w,"Mayas Easter Sangria Brunch 5/4/2015 Red and white Sangria  $ 3.00",menu
n3mRM-gZhBisrpZuCdCdeg,kJmAc845uKH8Z6e1KFZXtA,,drink
hBd5vor9ki8qTA5xU6E5xw,FEXhWNCMkv22qG04E83Qjg,Menu. To the point.,menu
OGE3iiq4cbS14bX69Y88Iw,9OCsSHr6OCSyR91BFIbszQ,,inside
J0nk7wIM7vtKEnx9LO2xfA,OasuuvngPyA6sVNCqOOVRQ,Menu,menu
eLhRFlr_U38OYrMka3sBpg,o3hDZ2nv80tApZMNQw2aZA,,outside
ezfqNLH17yPZeOo4ZkVWIw,TunmRrfZb7bt53T6HJi4UQ,new menu,menu
eUK9MTvEK8sJ9rFC-dsQhQ,Bsq3-p3cDBi7bfgPDJq7aQ,,drink
a4MgfMabyvFQkLdOA6so4g,7pwFfnB6FH4lflXWrQ2Tqw,Heavenly plate of BBQ goodness at Jack's BBQ on Broadway.,food
WpXFNUMQOz47imtady0tDA,WTrjHT-4njU6Mp2-G-NtVw,,menu
75N1PZIMKqDB9N7ktOSN1Q,z2d0Pg8dqLUkrCMVvyYhxw,,drink
kuiec9_OOEFGnVSCrk8PVQ,K_JuuazFvgiXkTFg61DfdA,Fancy sign,menu
TOksuBmshY5ynh27BuZDHw,VZhRxX3BzU09qK4UlXrN4g,SOOOO cute! Classic diner feel. The owners are so darn sweet too!,inside
